n_receipts,n_anomalies,percent
6,0,0.0
5,0,0.0
5,0,0.0
7,2,0.2857142857142857
38,4,0.10526315789473684
102,88,0.8627450980392157
4,0,0.0
1,1,1.0
16,12,0.75
5,1,0.2
3,0,0.0
9,0,0.0
10,0,0.0
14,0,0.0
18,10,0.5555555555555556
4,0,0.0
33,1,0.030303030303030304
28,0,0.0
17,0,0.0
2,1,0.5
1,0,0.0
29,0,0.0
9,0,0.0
8,8,1.0
16,0,0.0
17,0,0.0
15,2,0.13333333333333333
32,15,0.46875
9,5,0.5555555555555556
39,13,0.3333333333333333
12,12,1.0
3,0,0.0
7,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
30,5,0.16666666666666666
8,5,0.625
3,0,0.0
21,1,0.047619047619047616
2,1,0.5
29,3,0.10344827586206896
11,0,0.0
20,0,0.0
1,0,0.0
6,3,0.5
11,1,0.09090909090909091
7,0,0.0
8,0,0.0
16,1,0.0625
14,3,0.21428571428571427
19,18,0.9473684210526315
3,0,0.0
4,0,0.0
30,2,0.06666666666666667
79,2,0.02531645569620253
24,0,0.0
6,0,0.0
1,1,1.0
20,0,0.0
3,0,0.0
6,0,0.0
6,0,0.0
24,3,0.125
7,3,0.42857142857142855
20,2,0.1
10,0,0.0
7,2,0.2857142857142857
8,0,0.0
1,0,0.0
25,0,0.0
4,1,0.25
35,0,0.0
27,14,0.5185185185185185
2,0,0.0
1,1,1.0
1,1,1.0
24,0,0.0
2,0,0.0
20,0,0.0
1,0,0.0
6,2,0.3333333333333333
1,1,1.0
13,0,0.0
6,2,0.3333333333333333
11,5,0.45454545454545453
30,22,0.7333333333333333
6,0,0.0
6,0,0.0
1,0,0.0
15,4,0.26666666666666666
7,7,1.0
18,0,0.0
9,0,0.0
2,0,0.0
3,1,0.3333333333333333
15,2,0.13333333333333333
6,2,0.3333333333333333
7,1,0.14285714285714285
11,0,0.0
1,0,0.0
2,0,0.0
14,0,0.0
10,0,0.0
34,0,0.0
1,0,0.0
35,2,0.05714285714285714
4,0,0.0
2,0,0.0
11,0,0.0
24,1,0.041666666666666664
1,0,0.0
10,6,0.6
14,0,0.0
6,6,1.0
20,7,0.35
8,0,0.0
4,0,0.0
7,0,0.0
3,0,0.0
1,0,0.0
7,0,0.0
20,0,0.0
110,0,0.0
12,5,0.4166666666666667
7,0,0.0
8,0,0.0
9,1,0.1111111111111111
21,0,0.0
17,0,0.0
1,0,0.0
2,0,0.0
12,0,0.0
12,0,0.0
3,0,0.0
2,1,0.5
368,155,0.421195652173913
18,0,0.0
3,0,0.0
1,0,0.0
4,0,0.0
1,1,1.0
19,0,0.0
31,7,0.22580645161290322
4,0,0.0
4,2,0.5
20,0,0.0
46,0,0.0
11,0,0.0
25,1,0.04
5,0,0.0
3,0,0.0
4,2,0.5
14,0,0.0
4,0,0.0
3,0,0.0
5,0,0.0
4,0,0.0
24,0,0.0
5,3,0.6
12,10,0.8333333333333334
8,0,0.0
7,0,0.0
13,2,0.15384615384615385
4,0,0.0
4,0,0.0
39,8,0.20512820512820512
23,4,0.17391304347826086
5,0,0.0
14,2,0.14285714285714285
1,0,0.0
1,1,1.0
22,0,0.0
10,0,0.0
94,0,0.0
10,1,0.1
13,0,0.0
23,0,0.0
7,1,0.14285714285714285
4,0,0.0
16,11,0.6875
2,0,0.0
25,0,0.0
3,1,0.3333333333333333
11,0,0.0
2,0,0.0
15,10,0.6666666666666666
11,1,0.09090909090909091
24,1,0.041666666666666664
33,4,0.12121212121212122
28,0,0.0
2,0,0.0
12,0,0.0
1,0,0.0
9,0,0.0
14,0,0.0
2,0,0.0
27,27,1.0
1,0,0.0
18,0,0.0
13,13,1.0
3,0,0.0
22,0,0.0
7,0,0.0
15,0,0.0
15,0,0.0
11,2,0.18181818181818182
5,0,0.0
1,0,0.0
8,0,0.0
117,91,0.7777777777777778
33,10,0.30303030303030304
12,0,0.0
32,0,0.0
1,0,0.0
7,0,0.0
9,0,0.0
47,4,0.0851063829787234
4,0,0.0
6,0,0.0
85,0,0.0
21,11,0.5238095238095238
12,0,0.0
5,0,0.0
42,2,0.047619047619047616
16,9,0.5625
9,0,0.0
20,0,0.0
13,10,0.7692307692307693
20,0,0.0
108,0,0.0
16,0,0.0
24,1,0.041666666666666664
15,4,0.26666666666666666
8,1,0.125
9,1,0.1111111111111111
11,0,0.0
5,0,0.0
1,1,1.0
11,0,0.0
9,0,0.0
2,0,0.0
6,0,0.0
12,3,0.25
24,0,0.0
51,15,0.29411764705882354
14,5,0.35714285714285715
5,0,0.0
10,1,0.1
7,2,0.2857142857142857
1,0,0.0
30,2,0.06666666666666667
2,1,0.5
11,2,0.18181818181818182
5,0,0.0
10,0,0.0
7,1,0.14285714285714285
23,7,0.30434782608695654
3,3,1.0
19,0,0.0
15,6,0.4
12,4,0.3333333333333333
1,0,0.0
15,4,0.26666666666666666
67,0,0.0
3,0,0.0
37,1,0.02702702702702703
19,8,0.42105263157894735
24,0,0.0
3,2,0.6666666666666666
17,0,0.0
13,0,0.0
6,5,0.8333333333333334
18,5,0.2777777777777778
196,4,0.02040816326530612
14,0,0.0
7,0,0.0
5,0,0.0
20,0,0.0
20,3,0.15
4,0,0.0
2,1,0.5
1,0,0.0
13,7,0.5384615384615384
13,0,0.0
4,0,0.0
1,0,0.0
2,0,0.0
139,62,0.4460431654676259
2,0,0.0
7,0,0.0
38,2,0.05263157894736842
150,89,0.5933333333333334
1,0,0.0
10,10,1.0
17,7,0.4117647058823529
230,2,0.008695652173913044
26,9,0.34615384615384615
3,0,0.0
1,0,0.0
8,3,0.375
6,0,0.0
1,0,0.0
44,9,0.20454545454545456
2,0,0.0
6,0,0.0
7,4,0.5714285714285714
9,0,0.0
14,11,0.7857142857142857
5,0,0.0
1,1,1.0
16,0,0.0
8,0,0.0
5,0,0.0
59,0,0.0
8,0,0.0
6,0,0.0
13,1,0.07692307692307693
13,0,0.0
29,1,0.034482758620689655
107,0,0.0
8,7,0.875
6,1,0.16666666666666666
1,0,0.0
19,5,0.2631578947368421
2,2,1.0
17,0,0.0
93,0,0.0
1,0,0.0
5,0,0.0
3,1,0.3333333333333333
31,21,0.6774193548387096
1,0,0.0
21,0,0.0
6,0,0.0
6,0,0.0
3,2,0.6666666666666666
37,0,0.0
19,0,0.0
18,0,0.0
4,1,0.25
32,0,0.0
13,0,0.0
6,4,0.6666666666666666
90,0,0.0
6,0,0.0
12,1,0.08333333333333333
15,0,0.0
22,8,0.36363636363636365
12,0,0.0
27,0,0.0
8,7,0.875
12,0,0.0
25,8,0.32
26,0,0.0
12,2,0.16666666666666666
21,0,0.0
7,0,0.0
4,0,0.0
18,0,0.0
9,2,0.2222222222222222
2,0,0.0
4,0,0.0
3,1,0.3333333333333333
41,8,0.1951219512195122
26,0,0.0
12,8,0.6666666666666666
19,0,0.0
1,0,0.0
3,1,0.3333333333333333
171,6,0.03508771929824561
11,5,0.45454545454545453
15,0,0.0
31,7,0.22580645161290322
2,0,0.0
18,18,1.0
1,1,1.0
21,2,0.09523809523809523
15,0,0.0
16,1,0.0625
5,0,0.0
5,2,0.4
7,3,0.42857142857142855
7,6,0.8571428571428571
19,0,0.0
4,0,0.0
31,0,0.0
22,0,0.0
20,0,0.0
17,0,0.0
18,0,0.0
10,10,1.0
5,0,0.0
19,0,0.0
1,0,0.0
42,0,0.0
20,10,0.5
45,3,0.06666666666666667
3,0,0.0
7,0,0.0
20,7,0.35
11,0,0.0
3,0,0.0
14,0,0.0
18,8,0.4444444444444444
1,0,0.0
12,0,0.0
2,0,0.0
17,0,0.0
1,0,0.0
17,0,0.0
24,0,0.0
23,15,0.6521739130434783
3,2,0.6666666666666666
36,1,0.027777777777777776
12,1,0.08333333333333333
21,1,0.047619047619047616
1,0,0.0
7,0,0.0
194,28,0.14432989690721648
4,0,0.0
16,0,0.0
4,0,0.0
1,0,0.0
23,0,0.0
35,0,0.0
36,7,0.19444444444444445
13,6,0.46153846153846156
8,2,0.25
3,0,0.0
23,1,0.043478260869565216
9,0,0.0
14,0,0.0
211,7,0.03317535545023697
3,0,0.0
31,1,0.03225806451612903
4,0,0.0
1,0,0.0
19,13,0.6842105263157895
2,0,0.0
3,2,0.6666666666666666
1,0,0.0
23,0,0.0
26,5,0.19230769230769232
32,0,0.0
9,9,1.0
14,0,0.0
10,0,0.0
18,1,0.05555555555555555
15,0,0.0
8,3,0.375
1,1,1.0
33,0,0.0
2,0,0.0
7,1,0.14285714285714285
2,0,0.0
25,0,0.0
